Date : 2020-12-06 22:14:18
Directory : d:\muyuan\my-iot-platform-frontend
Total : 3121 files,  3087267 codes, 169382 comments, 88406 blanks, all 3345055 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| public\usr-draw\static\img\lib\ibm\blockchain                                                                                                                                                    |         12 |        560 |         12 |         12 |        584 |
| public\usr-draw\static\img\lib\ibm\data                                                                                                                                                          |         13 |        300 |         12 |         12 |        324 |
| public\usr-draw\static\img\lib\ibm\devops                                                                                                                                                        |         10 |        238 |         10 |         10 |        258 |
| public\usr-draw\static\img\lib\ibm\infrastructure                                                                                                                                                |         18 |        383 |         18 |         18 |        419 |
| public\usr-draw\static\img\lib\ibm\management                                                                                                                                                    |         15 |        330 |         15 |         15 |        360 |
| public\usr-draw\static\img\lib\ibm\miscellaneous                                                                                                                                                 |         14 |        858 |         12 |         13 |        883 |
| public\usr-draw\static\img\lib\ibm\security                                                                                                                                                      |         14 |        362 |         14 |         14 |        390 |
| public\usr-draw\static\img\lib\ibm\social                                                                                                                                                        |          5 |        116 |          5 |          5 |        126 |
| public\usr-draw\static\img\lib\ibm\users                                                                                                                                                         |          6 |        108 |          6 |          6 |        120 |
| public\usr-draw\static\img\lib\mscae                                                                                                                                                             |        330 |     22,099 |        224 |        267 |     22,590 |
| public\usr-draw\static\img\lib\mscae\dep                                                                                                                                                         |          8 |        767 |          8 |          8 |        783 |
| public\usr-draw\static\img\usr                                                                                                                                                                   |        191 |      9,940 |        146 |        425 |     10,511 |
| public\usr-draw\static\img\usr\0                                                                                                                                                                 |          6 |          6 |          0 |          0 |          6 |
| public\usr-draw\static\img\usr\gelan                                                                                                                                                             |         11 |        121 |          2 |          1 |        124 |
| public\usr-draw\static\img\usr\guandao                                                                                                                                                           |         21 |        836 |         15 |         46 |        897 |
| public\usr-draw\static\img\usr\guanti                                                                                                                                                            |          6 |        239 |         29 |          5 |        273 |
| public\usr-draw\static\img\usr\jiexiantu                                                                                                                                                         |         20 |        315 |         20 |         20 |        355 |
| public\usr-draw\static\img\usr\jiexiantu_new                                                                                                                                                     |         36 |        621 |         36 |          0 |        657 |
| public\usr-draw\static\img\usr\jipaishui                                                                                                                                                         |          9 |        489 |          0 |          0 |        489 |
| public\usr-draw\static\img\usr\lengreyu                                                                                                                                                          |          7 |        503 |          0 |          0 |        503 |
| public\usr-draw\static\img\usr\light                                                                                                                                                             |         16 |      1,308 |         16 |         73 |      1,397 |
| public\usr-draw\static\img\usr\other                                                                                                                                                             |         27 |         27 |          0 |          0 |         27 |
| public\usr-draw\static\img\usr\smart_meter                                                                                                                                                       |          5 |        130 |          0 |         15 |        145 |
| public\usr-draw\static\img\usr\songpaifeng                                                                                                                                                       |         15 |        336 |         16 |         38 |        390 |
| public\usr-draw\static\img\usr\switch                                                                                                                                                            |         12 |      5,009 |         12 |        227 |      5,248 |
| public\usr-draw\static\js                                                                                                                                                                        |          9 |          9 |          0 |          0 |          9 |
| public\usr-draw\static\mxgraph                                                                                                                                                                   |          2 |        180 |          0 |          2 |        182 |
| public\usr-draw\static\mxgraph\css                                                                                                                                                               |          2 |        180 |          0 |          2 |        182 |
| public\usr-draw\static\newDiagramCats                                                                                                                                                            |          6 |         64 |          5 |          1 |         70 |
| public\usr-draw\static\newDiagramCats\images                                                                                                                                                     |          5 |         55 |          5 |          0 |         60 |
| public\usr-draw\static\plugins                                                                                                                                                                   |        220 |    302,327 |    138,242 |     73,265 |    513,834 |
| public\usr-draw\static\plugins\ErrorCode                                                                                                                                                         |          1 |      3,154 |          4 |          0 |      3,158 |
| public\usr-draw\static\plugins\FileSaver                                                                                                                                                         |          2 |         98 |         69 |         17 |        184 |
| public\usr-draw\static\plugins\d3                                                                                                                                                                |          7 |     17,758 |      9,151 |      2,757 |     29,666 |
| public\usr-draw\static\plugins\d3-thermometer-master                                                                                                                                             |          2 |        336 |         22 |         85 |        443 |
| public\usr-draw\static\plugins\d3\v3                                                                                                                                                             |          5 |      2,853 |      8,752 |        146 |     11,751 |
| public\usr-draw\static\plugins\datePicker                                                                                                                                                        |          1 |        178 |          0 |          1 |        179 |
| public\usr-draw\static\plugins\ezuikit                                                                                                                                                           |         14 |     14,575 |      3,183 |      2,418 |     20,176 |
| public\usr-draw\static\plugins\ezuikit\1.4                                                                                                                                                       |         14 |     14,575 |      3,183 |      2,418 |     20,176 |
| public\usr-draw\static\plugins\ezuikit\1.4\ckplayer                                                                                                                                              |          5 |      1,428 |        603 |          2 |      2,033 |
| public\usr-draw\static\plugins\gauge.js-1.3.6                                                                                                                                                    |         14 |      3,860 |        257 |        512 |      4,629 |
| public\usr-draw\static\plugins\gauge.js-1.3.6\assets                                                                                                                                             |          9 |      2,221 |        245 |        345 |      2,811 |
| public\usr-draw\static\plugins\gauge.js-1.3.6\assets\fd-slider                                                                                                                                   |          3 |      1,092 |        182 |        199 |      1,473 |
| public\usr-draw\static\plugins\introjs                                                                                                                                                           |          3 |      2,003 |        666 |        397 |      3,066 |
| public\usr-draw\static\plugins\iopctrl-master                                                                                                                                                    |         30 |      3,168 |        659 |        293 |      4,120 |
| public\usr-draw\static\plugins\iopctrl-master\vendor                                                                                                                                             |         29 |      2,123 |        653 |        180 |      2,956 |
| public\usr-draw\static\plugins\iopctrl-master\vendor\polymer                                                                                                                                     |         29 |      2,123 |        653 |        180 |      2,956 |
| public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents                                                                                                                       |         14 |      1,233 |        235 |         94 |      1,562 |
| public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents\src                                                                                                                   |         11 |      1,120 |        230 |         53 |      1,403 |
| public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerGestures                                                                                                                     |         13 |        808 |        395 |         51 |      1,254 |
| public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerGestures\src                                                                                                                 |         10 |        750 |        387 |         36 |      1,173 |
| public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\WeakMap                                                                                                                             |          1 |         27 |          5 |          5 |         37 |
| public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\tools                                                                                                                               |          1 |         55 |         18 |         30 |        103 |
| public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\tools\loader                                                                                                                        |          1 |         55 |         18 |         30 |        103 |
| public\usr-draw\static\plugins\jquery-easyui-1.7.0                                                                                                                                               |          3 |     20,750 |         19 |          8 |     20,777 |
| public\usr-draw\static\plugins\laydate                                                                                                                                                           |          3 |         29 |          5 |         16 |         50 |
| public\usr-draw\static\plugins\laydate\theme                                                                                                                                                     |          2 |         28 |          4 |         16 |         48 |
| public\usr-draw\static\plugins\laydate\theme\default                                                                                                                                             |          2 |         28 |          4 |         16 |         48 |
| public\usr-draw\static\plugins\laydate\theme\default\font                                                                                                                                        |          1 |         27 |          3 |         16 |         46 |
| public\usr-draw\static\plugins\mloading                                                                                                                                                          |          2 |        188 |          5 |         10 |        203 |
| public\usr-draw\static\plugins\moment-timezone                                                                                                                                                   |          4 |      2,362 |        270 |        573 |      3,205 |
| public\usr-draw\static\plugins\qrcode                                                                                                                                                            |          1 |         28 |          0 |          0 |         28 |
| public\usr-draw\static\plugins\select2-4.0.6                                                                                                                                                     |          9 |      9,895 |        643 |      2,518 |     13,056 |
| public\usr-draw\static\plugins\select2-4.0.6\css                                                                                                                                                 |          2 |        533 |          0 |        104 |        637 |
| public\usr-draw\static\plugins\select2-4.0.6\js                                                                                                                                                  |          7 |      9,362 |        643 |      2,414 |     12,419 |
| public\usr-draw\static\plugins\select2-4.0.6\js\i18n                                                                                                                                             |          3 |          3 |          3 |          3 |          9 |
| public\usr-draw\static\plugins\snap                                                                                                                                                              |          5 |        421 |        100 |          2 |        523 |
| public\usr-draw\static\plugins\snop                                                                                                                                                              |         15 |      1,491 |        215 |        345 |      2,051 |
| public\usr-draw\static\plugins\snop\src                                                                                                                                                          |          9 |        956 |        196 |        258 |      1,410 |
| public\usr-draw\static\plugins\stream_table                                                                                                                                                      |         12 |      6,613 |        483 |      1,491 |      8,587 |
| public\usr-draw\static\plugins\stream_table\assets                                                                                                                                               |          5 |      3,514 |         94 |        816 |      4,424 |
| public\usr-draw\static\plugins\stream_table\assets\css                                                                                                                                           |          2 |      3,335 |         87 |        816 |      4,238 |
| public\usr-draw\static\plugins\stream_table\assets\fonts                                                                                                                                         |          1 |        175 |          0 |          0 |        175 |
| public\usr-draw\static\plugins\stream_table\assets\js                                                                                                                                            |          2 |          4 |          7 |          0 |         11 |
| public\usr-draw\static\plugins\stream_table\data                                                                                                                                                 |          1 |          1 |          0 |          1 |          2 |
| public\usr-draw\static\plugins\stream_table\vendors                                                                                                                                              |          3 |      2,649 |        357 |        550 |      3,556 |
| public\usr-draw\static\plugins\trees                                                                                                                                                             |          1 |      1,101 |        121 |        220 |      1,442 |
| public\usr-draw\static\plugins\video                                                                                                                                                             |          1 |     10,618 |      7,072 |      3,974 |     21,664 |
| public\usr-draw\static\plugins\video-js-7                                                                                                                                                        |         53 |    125,153 |     86,159 |     41,225 |    252,537 |
| public\usr-draw\static\plugins\video-js-7\alt                                                                                                                                                    |          8 |     50,931 |     39,024 |     17,687 |    107,642 |
| public\usr-draw\static\plugins\video-js-7\examples                                                                                                                                               |          3 |         57 |          5 |         23 |         85 |
| public\usr-draw\static\plugins\video-js-7\examples\elephantsdream                                                                                                                                |          1 |         25 |          5 |         12 |         42 |
| public\usr-draw\static\plugins\video-js-7\examples\simple-embed                                                                                                                                  |          1 |         18 |          0 |          6 |         24 |
| public\usr-draw\static\plugins\video-js-7\font                                                                                                                                                   |          1 |        108 |          0 |          1 |        109 |
| public\usr-draw\static\plugins\video-js-7\lang                                                                                                                                                   |         35 |      1,777 |          0 |          0 |      1,777 |
| public\usr-draw\static\plugins\waterfall                                                                                                                                                         |          2 |        199 |         24 |         46 |        269 |
| public\usr-draw\static\plugins\webcola                                                                                                                                                           |          4 |        994 |        282 |         88 |      1,364 |
| public\usr-draw\static\sdk                                                                                                                                                                       |          3 |        111 |         69 |          8 |        188 |
| public\usr-draw\static\shapes                                                                                                                                                                    |         50 |     45,554 |      9,636 |      7,843 |     63,033 |
| public\usr-draw\static\shapes\bpmn                                                                                                                                                               |          1 |        671 |         44 |         52 |        767 |
| public\usr-draw\static\shapes\er                                                                                                                                                                 |          1 |      1,133 |        176 |        160 |      1,469 |
| public\usr-draw\static\shapes\ios7                                                                                                                                                               |          1 |      1,127 |        334 |        259 |      1,720 |
| public\usr-draw\static\shapes\mockup                                                                                                                                                             |          9 |     12,517 |      2,338 |      2,321 |     17,176 |
| public\usr-draw\static\shapes\pid2                                                                                                                                                               |          3 |      1,881 |        193 |        263 |      2,337 |
| public\usr-draw\static\shapes\rack                                                                                                                                                               |          1 |        859 |        240 |        153 |      1,252 |
| public\usr-draw\static\shapes\usr                                                                                                                                                                |         15 |      6,216 |      1,059 |        351 |      7,626 |
| public\usr-draw\static\stencils                                                                                                                                                                  |        181 |    427,421 |          0 |        188 |    427,609 |
| public\usr-draw\static\stencils\android                                                                                                                                                          |          1 |      1,905 |          0 |          0 |      1,905 |
| public\usr-draw\static\stencils\aws                                                                                                                                                              |         11 |      7,959 |          0 |         16 |      7,975 |
| public\usr-draw\static\stencils\aws2                                                                                                                                                             |         18 |     35,323 |          0 |          0 |     35,323 |
| public\usr-draw\static\stencils\cisco                                                                                                                                                            |         14 |     38,222 |          0 |          0 |     38,222 |
| public\usr-draw\static\stencils\cisco_safe                                                                                                                                                       |          4 |     31,417 |          0 |          0 |     31,417 |
| public\usr-draw\static\stencils\electrical                                                                                                                                                       |         24 |     14,406 |          0 |          0 |     14,406 |
| public\usr-draw\static\stencils\gcp                                                                                                                                                              |         10 |      6,246 |          0 |          0 |      6,246 |
| public\usr-draw\static\stencils\ios7                                                                                                                                                             |          2 |      4,668 |          0 |          0 |      4,668 |
| public\usr-draw\static\stencils\mockup                                                                                                                                                           |          9 |      7,348 |          0 |          0 |      7,348 |
| public\usr-draw\static\stencils\mscae                                                                                                                                                            |         11 |     30,282 |          0 |          0 |     30,282 |
| public\usr-draw\static\stencils\office                                                                                                                                                           |         10 |     38,074 |          0 |          0 |     38,074 |
| public\usr-draw\static\stencils\pid                                                                                                                                                              |         24 |     12,050 |          0 |          0 |     12,050 |
| public\usr-draw\static\stencils\rack                                                                                                                                                             |          8 |     10,497 |          0 |          0 |     10,497 |
| public\usr-draw\static\stencils\signs                                                                                                                                                            |         11 |     29,690 |          0 |          0 |     29,690 |
| public\usr-draw\static\stencils\usr                                                                                                                                                              |          1 |        212 |          0 |         25 |        237 |
| public\usr-draw\static\stencils\veeam                                                                                                                                                            |          3 |     35,379 |          0 |          0 |     35,379 |
| public\usr-draw\static\styles                                                                                                                                                                    |         11 |      5,882 |        119 |        373 |      6,374 |
| public\usr-draw\static\styles\usr                                                                                                                                                                |          2 |      1,579 |         82 |          8 |      1,669 |
| public\usr-draw\static\templates                                                                                                                                                                 |        157 |        376 |          0 |          3 |        379 |
| public\usr-draw\static\templates\business                                                                                                                                                        |         15 |         25 |          0 |          0 |         25 |
| public\usr-draw\static\templates\charts                                                                                                                                                          |          5 |          7 |          0 |          0 |          7 |
| public\usr-draw\static\templates\engineering                                                                                                                                                     |          3 |          5 |          0 |          0 |          5 |
| public\usr-draw\static\templates\flowcharts                                                                                                                                                      |          9 |         16 |          0 |          0 |         16 |
| public\usr-draw\static\templates\gcp                                                                                                                                                             |         55 |         55 |          0 |          0 |         55 |
| public\usr-draw\static\templates\layout                                                                                                                                                          |          4 |          8 |          0 |          0 |          8 |
| public\usr-draw\static\templates\maps                                                                                                                                                            |          5 |          7 |          0 |          0 |          7 |
| public\usr-draw\static\templates\network                                                                                                                                                         |         21 |         32 |          0 |          0 |         32 |
| public\usr-draw\static\templates\other                                                                                                                                                           |         10 |         17 |          0 |          0 |         17 |
| public\usr-draw\static\templates\software                                                                                                                                                        |          9 |         18 |          0 |          0 |         18 |
| public\usr-draw\static\templates\tables                                                                                                                                                          |          4 |          6 |          0 |          0 |          6 |
| public\usr-draw\static\templates\uml                                                                                                                                                             |          8 |         14 |          0 |          0 |         14 |
| public\usr-draw\static\templates\venn                                                                                                                                                            |          8 |         10 |          0 |          0 |         10 |
| src                                                                                                                                                                                              |      1,709 |  2,256,671 |     20,747 |      5,758 |  2,283,176 |
| src\assets                                                                                                                                                                                       |        124 |      1,744 |         66 |          0 |      1,810 |
| src\assets\image                                                                                                                                                                                 |        124 |      1,744 |         66 |          0 |      1,810 |
| src\assets\image\UnitInspection                                                                                                                                                                  |         13 |        124 |         13 |          0 |        137 |
| src\assets\image\cleanProduct                                                                                                                                                                    |         27 |        272 |          5 |          0 |        277 |
| src\assets\image\disinfection                                                                                                                                                                    |         19 |        354 |          0 |          0 |        354 |
| src\assets\image\export                                                                                                                                                                          |          1 |         14 |          1 |          0 |         15 |
| src\assets\image\pighouse                                                                                                                                                                        |          1 |         10 |          1 |          0 |         11 |
| src\assets\image\unitStatus                                                                                                                                                                      |         19 |        275 |         19 |          0 |        294 |
| src\assets\image\weather                                                                                                                                                                         |         19 |        321 |         19 |          0 |        340 |
| src\assets\image\weatherIcon                                                                                                                                                                     |         11 |        209 |          0 |          0 |        209 |
| src\assets\image\wlw                                                                                                                                                                             |          3 |         40 |          3 |          0 |         43 |
| src\common                                                                                                                                                                                       |         25 |      2,593 |        410 |        206 |      3,209 |
| src\common\Excel                                                                                                                                                                                 |          2 |        294 |         31 |         33 |        358 |
| src\common\base                                                                                                                                                                                  |          1 |         99 |         42 |         13 |        154 |
| src\common\base\storage                                                                                                                                                                          |          1 |         99 |         42 |         13 |        154 |
