Date : 2020-12-06 22:14:18
Directory : d:\muyuan\my-iot-platform-frontend
Total : 3121 files,  3087267 codes, 169382 comments, 88406 blanks, all 3345055 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\HealthAnalyse\components\HomeCough.vue                                                                                              | Vue.js     |        322 |         12 |          2 |        336 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\HealthAnalyse\components\HomeErrInfo.vue                                                                                            | Vue.js     |         93 |          0 |          3 |         96 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\HealthAnalyse\components\HomePie.vue                                                                                                | Vue.js     |        129 |         13 |          4 |        146 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\HealthAnalyse\components\HomeSwinery.vue                                                                                            | Vue.js     |        284 |         25 |          3 |        312 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\HealthAnalyse\components\HomeWeekBar.vue                                                                                            | Vue.js     |        133 |          0 |          3 |        136 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\HealthAnalyse\components\SymptomBar.vue                                                                                             | Vue.js     |        119 |          0 |          2 |        121 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\HealthAnalyse\page\InformationStatistics.vue                                                                                        | Vue.js     |        554 |         69 |          8 |        631 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\HealthAnalyse\page\check.vue                                                                                                        | Vue.js     |        378 |         59 |          5 |        442 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\HealthAnalyse\page\cough.vue                                                                                                        | Vue.js     |        339 |         48 |          5 |        392 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\HealthAnalyse\page\feed.vue                                                                                                         | Vue.js     |        498 |         76 |          4 |        578 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\HealthAnalyse\page\home.vue                                                                                                         | Vue.js     |        286 |         80 |          3 |        369 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\HealthAnalyse\page\index.vue                                                                                                        | Vue.js     |          3 |          0 |          1 |          4 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\HealthAnalyse\page\symptom.vue                                                                                                      | Vue.js     |        703 |         78 |          9 |        790 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\PlatformLogManagement\component\logDialog.vue                                                                                       | Vue.js     |        200 |         10 |          3 |        213 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\PlatformLogManagement\page\index.vue                                                                                                | Vue.js     |          5 |          0 |          1 |          6 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\PlatformLogManagement\page\subpage\AccessLog.vue                                                                                    | Vue.js     |        341 |         26 |          2 |        369 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\UnitClient\api.js                                                                                                                   | JavaScript |         25 |         10 |          4 |         39 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\UnitClient\index.vue                                                                                                                | Vue.js     |        266 |         27 |          2 |        295 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\UnitInspection\API\api.js                                                                                                           | JavaScript |        145 |         71 |         19 |        235 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\UnitInspection\page\fileds.js                                                                                                       | JavaScript |        118 |          2 |          1 |        121 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\UnitInspection\page\index.scss                                                                                                      | SCSS       |        706 |         99 |         20 |        825 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\UnitInspection\page\index.vue                                                                                                       | Vue.js     |      1,659 |         64 |          9 |      1,732 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\UnitPollingRecord\page\index.vue                                                                                                    | Vue.js     |        267 |         19 |          4 |        290 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfoMaintain\page\index.vue                                                                                                     | Vue.js     |          7 |          0 |          1 |          8 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfoMaintain\page\subpage\carMess\add.json                                                                                      | JSON       |         34 |          1 |          0 |         35 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfoMaintain\page\subpage\carMess\add1.json                                                                                     | JSON       |         31 |          0 |          0 |         31 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfoMaintain\page\subpage\carMess\index.vue                                                                                     | Vue.js     |      1,300 |        357 |          7 |      1,664 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfoMaintain\page\subpage\carStatus\index.vue                                                                                   | Vue.js     |      1,004 |        193 |          2 |      1,199 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfoMaintain\page\subpage\components\tableForm.vue                                                                              | Vue.js     |        256 |         21 |          4 |        281 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfoMaintain\page\subpage\controlPanel\index.vue                                                                                | Vue.js     |        976 |        226 |          4 |      1,206 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfoMaintain\page\subpage\coughEquipment\index.vue                                                                              | Vue.js     |        953 |        177 |          5 |      1,135 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfoMaintain\page\subpage\fieldConfiguration\index.vue                                                                          | Vue.js     |        711 |         98 |         10 |        819 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfoMaintain\page\subpage\yBpFieldUnitCameral\index.vue                                                                         | Vue.js     |      1,317 |        178 |          3 |      1,498 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfo\page\index.vue                                                                                                             | Vue.js     |          7 |          0 |          1 |          8 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfo\page\subpage\Employee\index.vue                                                                                            | Vue.js     |      1,575 |        217 |         22 |      1,814 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfo\page\subpage\components\tableForm.vue                                                                                      | Vue.js     |        213 |          2 |          4 |        219 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfo\page\subpage\dataInterface\index.vue                                                                                       | Vue.js     |         14 |          0 |          2 |         16 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfo\page\subpage\dataPermissions\index.vue                                                                                     | Vue.js     |        437 |         41 |          3 |        481 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfo\page\subpage\datasubpage\role\index.vue                                                                                    | Vue.js     |        228 |         25 |         16 |        269 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfo\page\subpage\menuManager\index.vue                                                                                         | Vue.js     |         17 |          2 |          2 |         21 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\baseInfo\page\subpage\rolePermissions\index.vue                                                                                     | Vue.js     |         13 |          0 |          2 |         15 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\fieldDeviceOverview\components\Contras.vue                                                                                          | Vue.js     |        374 |         39 |          9 |        422 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\fieldDeviceOverview\components\Facility.vue                                                                                         | Vue.js     |        403 |         43 |         12 |        458 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\fieldDeviceOverview\components\customizationWeather.vue                                                                             | Vue.js     |        136 |          2 |          5 |        143 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\fieldDeviceOverview\components\map.vue                                                                                              | Vue.js     |        626 |        113 |         11 |        750 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\fieldDeviceOverview\page\index.vue                                                                                                  | Vue.js     |        625 |         87 |          8 |        720 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\layout\components\AppMain.vue                                                                                                       | Vue.js     |         19 |          0 |          2 |         21 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\layout\components\Sidebar\Item.vue                                                                                                  | Vue.js     |         42 |          0 |          3 |         45 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\layout\components\Sidebar\SidebarItem.vue                                                                                           | Vue.js     |        121 |          1 |          5 |        127 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\layout\components\Sidebar\SidebarItem_api.vue                                                                                       | Vue.js     |         78 |          1 |          4 |         83 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\layout\components\Sidebar\index.vue                                                                                                 | Vue.js     |        109 |         14 |          4 |        127 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\layout\components\index.js                                                                                                          | JavaScript |          2 |          0 |          1 |          3 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\layout\index.vue                                                                                                                    | Vue.js     |         60 |          4 |          7 |         71 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\swineryCheckDiscipline\page\index.vue                                                                                               | Vue.js     |        323 |         33 |          4 |        360 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\unitPatrol\page\index.vue                                                                                                           | Vue.js     |          7 |          0 |          1 |          8 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\unitPatrol\page\subpage\patrolHurdlePlane\index.vue                                                                                 | Vue.js     |        714 |        151 |          5 |        870 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\unitPatrol\page\subpage\planBinding\index.vue                                                                                       | Vue.js     |        812 |        173 |          3 |        988 |
| d:\muyuan\my-iot-platform-frontend\src\views\TrackInspection\unitPatrol\page\subpage\sendRecord\index.vue                                                                                        | Vue.js     |        217 |          1 |          2 |        220 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\page\home.vue                                                                                                            | Vue.js     |         17 |          0 |          4 |         21 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\router\index.js                                                                                                          | JavaScript |         17 |          6 |          5 |         28 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\router\modules\baseDeploy.js                                                                                             | JavaScript |         32 |          1 |          3 |         36 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\router\modules\basicData.js                                                                                              | JavaScript |        126 |          1 |          3 |        130 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\router\modules\businessManagement.js                                                                                     | JavaScript |         16 |          1 |          3 |         20 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\router\modules\deviceManagement.js                                                                                       | JavaScript |          8 |          1 |          2 |         11 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\router\modules\equipmentOnlineCondition.js                                                                               | JavaScript |          8 |          1 |          2 |         11 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\router\modules\equipmentOnlineInfo.js                                                                                    | JavaScript |          8 |          1 |          1 |         10 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\router\modules\fieldOnlineStatus.js                                                                                      | JavaScript |          8 |          1 |          2 |         11 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\router\modules\platformLogManagement.js                                                                                  | JavaScript |         41 |          1 |          4 |         46 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\router\modules\welcomePage.js                                                                                            | JavaScript |          8 |          1 |          2 |         11 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\router\modules\zzznavFormView.js                                                                                         | JavaScript |          8 |          1 |          2 |         11 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\store\actions.js                                                                                                         | JavaScript |         57 |          6 |          2 |         65 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\store\getters.js                                                                                                         | JavaScript |          0 |          5 |          1 |          6 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\store\index.js                                                                                                           | JavaScript |         11 |          5 |          3 |         19 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\store\mutations.js                                                                                                       | JavaScript |          8 |          5 |          1 |         14 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\A.Public\store\state.js                                                                                                           | JavaScript |          6 |          5 |          3 |         14 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\baseDeploy\page\index.vue                                                                                                         | Vue.js     |          7 |          0 |          1 |          8 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\baseDeploy\page\subpage\dataInterface\index.vue                                                                                   | Vue.js     |         14 |          0 |          2 |         16 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\baseDeploy\page\subpage\dataPermissions\index.vue                                                                                 | Vue.js     |        423 |         31 |          2 |        456 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\baseDeploy\page\subpage\menuManager\index.vue                                                                                     | Vue.js     |         18 |          0 |          2 |         20 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\baseDeploy\page\subpage\rolePermissions\index.vue                                                                                 | Vue.js     |         15 |          0 |          2 |         17 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\index.vue                                                                                                          | Vue.js     |          7 |          0 |          1 |          8 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\alarmManagement\index.vue                                                                                  | Vue.js     |          7 |          0 |          1 |          8 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\alarmManagement\subpage\myAlarmConfig.vue                                                                  | Vue.js     |        458 |          2 |          5 |        465 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\alarmManagement\subpage\myAlarmThresholdManage.vue                                                         | Vue.js     |        449 |          2 |          6 |        457 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\controlInstruction\index.vue                                                                               | Vue.js     |      1,349 |         32 |          1 |      1,382 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\dataManagement\index.vue                                                                                   | Vue.js     |        220 |          1 |          2 |        223 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\deviceFirmware\detail\index.vue                                                                            | Vue.js     |        953 |         28 |          3 |        984 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\deviceFirmware\index.vue                                                                                   | Vue.js     |        887 |         15 |          4 |        906 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\deviceFirmware\lmDialog.vue                                                                                | Vue.js     |        579 |          9 |          1 |        589 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\deviceFirmware\upDialog.vue                                                                                | Vue.js     |        498 |         10 |          1 |        509 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\deviceFirmware\upUpDialog.vue                                                                              | Vue.js     |        391 |          4 |          1 |        396 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\emptyCircleManagement\index.vue                                                                            | Vue.js     |        463 |         19 |          3 |        485 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\emptyCircleManagement\subpage\addEmptyCircle\subpage\detail.vue                                            | Vue.js     |        418 |         53 |          3 |        474 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\emptyCircleManagement\subpage\index.vue                                                                    | Vue.js     |          5 |          0 |          1 |          6 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\equipmentFaultCode\index.vue                                                                               | Vue.js     |        797 |          6 |          4 |        807 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\equipmentModel\index.vue                                                                                   | Vue.js     |        812 |         20 |          5 |        837 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\equipmentType\index.vue                                                                                    | Vue.js     |        869 |         29 |          5 |        903 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\eventManagement\index.vue                                                                                  | Vue.js     |        560 |         28 |          3 |        591 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\eventType\add.vue                                                                                          | Vue.js     |        212 |          8 |          7 |        227 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\eventType\index.vue                                                                                        | Vue.js     |        293 |         13 |          6 |        312 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\firmwareDistribution\index.vue                                                                             | Vue.js     |        385 |          2 |          1 |        388 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\manufacturer\index.vue                                                                                     | Vue.js     |        621 |         19 |          4 |        644 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\operatingInstructions\index.vue                                                                            | Vue.js     |        679 |          5 |          2 |        686 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\plcManagement\index.vue                                                                                    | Vue.js     |      1,040 |         32 |          3 |      1,075 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\siteInformationManagement\index.vue                                                                        | Vue.js     |        399 |          2 |          2 |        403 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\basicData\page\subpage\unitInformation\index.vue                                                                                  | Vue.js     |        985 |         18 |          4 |      1,007 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\businessManagement\page\index.vue                                                                                                 | Vue.js     |          7 |          0 |          1 |          8 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\businessManagement\page\subpage\permissionRangeConfiguration\index.vue                                                            | Vue.js     |          9 |          0 |          1 |         10 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\deviceManagement\index.vue                                                                                                        | Vue.js     |          9 |          0 |          1 |         10 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\equipmentOnlineCondition\index.vue                                                                                                | Vue.js     |      1,036 |        149 |          2 |      1,187 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\equipmentOnlineInfo\index.vue                                                                                                     | Vue.js     |        386 |         80 |          1 |        467 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\fieldOnlineStatus\index.vue                                                                                                       | Vue.js     |        189 |          3 |          2 |        194 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\layout\components\AppMain.vue                                                                                                     | Vue.js     |         19 |          0 |          2 |         21 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\layout\components\Sidebar\Item.vue                                                                                                | Vue.js     |         42 |          0 |          3 |         45 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\layout\components\Sidebar\SidebarItem.vue                                                                                         | Vue.js     |        121 |          1 |          5 |        127 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\layout\components\Sidebar\SidebarItem_api.vue                                                                                     | Vue.js     |         78 |          1 |          4 |         83 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\layout\components\Sidebar\index.vue                                                                                               | Vue.js     |        109 |         14 |          4 |        127 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\layout\components\index.js                                                                                                        | JavaScript |          2 |          0 |          1 |          3 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\layout\index.vue                                                                                                                  | Vue.js     |         60 |          4 |          7 |         71 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\navFormView\index.vue                                                                                                             | Vue.js     |        281 |          9 |          5 |        295 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\platformLogManagement\page\index.vue                                                                                              | Vue.js     |          7 |          0 |          1 |          8 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\platformLogManagement\page\subpage\addEquipment\index.vue                                                                         | Vue.js     |          9 |          0 |          1 |         10 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\platformLogManagement\page\subpage\alarmLog\index.vue                                                                             | Vue.js     |          9 |          0 |          1 |         10 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\platformLogManagement\page\subpage\deviceActivation\index.vue                                                                     | Vue.js     |          9 |          0 |          1 |         10 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\platformLogManagement\page\subpage\deviceDeletion\index.vue                                                                       | Vue.js     |          9 |          0 |          1 |         10 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\platformLogManagement\page\subpage\deviceDisabled\index.vue                                                                       | Vue.js     |          9 |          0 |          1 |         10 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\platformLogManagement\page\subpage\deviceRepair\index.vue                                                                         | Vue.js     |          9 |          0 |          1 |         10 |
| d:\muyuan\my-iot-platform-frontend\src\views\WlwAdministration\welcomePage\index.vue                                                                                                             | Vue.js     |          9 |          0 |          1 |         10 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\A.Public\page\home.vue                                                                                                              | Vue.js     |         17 |          0 |          4 |         21 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\A.Public\router\index.js                                                                                                            | JavaScript |         17 |          6 |          5 |         28 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\A.Public\router\modules\baseDeploy.js                                                                                               | JavaScript |         35 |          1 |          3 |         39 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\A.Public\router\modules\electricBox.js                                                                                              | JavaScript |         23 |          1 |          2 |         26 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\A.Public\store\actions.js                                                                                                           | JavaScript |         57 |          6 |          2 |         65 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\A.Public\store\getters.js                                                                                                           | JavaScript |          0 |          5 |          1 |          6 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\A.Public\store\index.js                                                                                                             | JavaScript |         11 |          5 |          3 |         19 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\A.Public\store\mutations.js                                                                                                         | JavaScript |          8 |          5 |          1 |         14 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\A.Public\store\state.js                                                                                                             | JavaScript |          6 |          5 |          3 |         14 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\baseDeploy\page\index.vue                                                                                                           | Vue.js     |          7 |          0 |          1 |          8 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\baseDeploy\page\subpage\dataInterface\index.vue                                                                                     | Vue.js     |          5 |          0 |          1 |          6 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\baseDeploy\page\subpage\dataPermissions\index.vue                                                                                   | Vue.js     |        389 |         56 |          2 |        447 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\baseDeploy\page\subpage\menuManager\index.vue                                                                                       | Vue.js     |          5 |          0 |          1 |          6 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\baseDeploy\page\subpage\rolePermissions\index.vue                                                                                   | Vue.js     |          5 |          0 |          1 |          6 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\electricBoxAlarm\page\index.vue                                                                                                     | Vue.js     |          3 |          0 |          1 |          4 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\electricBoxInformation\page\index.vue                                                                                               | Vue.js     |          3 |          0 |          1 |          4 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\electricBoxOnline\page\index.vue                                                                                                    | Vue.js     |          3 |          0 |          1 |          4 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\layout\components\AppMain.vue                                                                                                       | Vue.js     |         19 |          0 |          2 |         21 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\layout\components\Sidebar\Item.vue                                                                                                  | Vue.js     |         42 |          0 |          4 |         46 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\layout\components\Sidebar\SidebarItem.vue                                                                                           | Vue.js     |         94 |          1 |          4 |         99 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\layout\components\Sidebar\SidebarItem_api.vue                                                                                       | Vue.js     |         78 |          1 |          4 |         83 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\layout\components\Sidebar\index.vue                                                                                                 | Vue.js     |         56 |          4 |          4 |         64 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\layout\components\index.js                                                                                                          | JavaScript |          2 |          0 |          1 |          3 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\layout\index.vue                                                                                                                    | Vue.js     |         61 |          4 |          7 |         72 |
| d:\muyuan\my-iot-platform-frontend\src\views\electricNetwork\pushPersonnelRecord\page\index.vue                                                                                                  | Vue.js     |          3 |          0 |          1 |          4 |
| d:\muyuan\my-iot-platform-frontend\src\views\errorPage\404.vue                                                                                                                                   | Vue.js     |         64 |          4 |          5 |         73 |
| d:\muyuan\my-iot-platform-frontend\src\views\intelligentDisinfection\A.Public\page\home.vue                                                                                                      | Vue.js     |         17 |          0 |          4 |         21 |
| d:\muyuan\my-iot-platform-frontend\src\views\intelligentDisinfection\A.Public\router\index.js                                                                                                    | JavaScript |         17 |          6 |          5 |         28 |
| d:\muyuan\my-iot-platform-frontend\src\views\intelligentDisinfection\A.Public\router\modules\baseDeploy.js                                                                                       | JavaScript |         35 |          1 |          3 |         39 |
| d:\muyuan\my-iot-platform-frontend\src\views\intelligentDisinfection\A.Public\router\modules\disinfectionInformation.js                                                                          | JavaScript |         23 |          1 |          3 |         27 |
| d:\muyuan\my-iot-platform-frontend\src\views\intelligentDisinfection\A.Public\store\actions.js                                                                                                   | JavaScript |         57 |          6 |          2 |         65 |
| d:\muyuan\my-iot-platform-frontend\src\views\intelligentDisinfection\A.Public\store\getters.js                                                                                                   | JavaScript |          0 |          5 |          1 |          6 |
| d:\muyuan\my-iot-platform-frontend\src\views\intelligentDisinfection\A.Public\store\index.js                                                                                                     | JavaScript |         11 |          5 |          3 |         19 |
| d:\muyuan\my-iot-platform-frontend\src\views\intelligentDisinfection\A.Public\store\mutations.js                                                                                                 | JavaScript |          8 |          5 |          1 |         14 |
| d:\muyuan\my-iot-platform-frontend\src\views\intelligentDisinfection\A.Public\store\state.js                                                                                                     | JavaScript |          6 |          5 |          3 |         14 |
| d:\muyuan\my-iot-platform-frontend\src\views\intelligentDisinfection\baseDeploy\page\index.vue                                                                                                   | Vue.js     |          7 |          0 |          1 |          8 |
| d:\muyuan\my-iot-platform-frontend\src\views\intelligentDisinfection\baseDeploy\page\subpage\dataInterface\index.vue                                                                             | Vue.js     |          5 |          0 |          1 |          6 |
| d:\muyuan\my-iot-platform-frontend\src\views\intelligentDisinfection\baseDeploy\page\subpage\dataPermissions\index.vue                                                                           | Vue.js     |        389 |         56 |          2 |        447 |
| d:\muyuan\my-iot-platform-frontend\src\views\intelligentDisinfection\baseDeploy\page\subpage\menuManager\index.vue                                                                               | Vue.js     |          5 |          0 |          1 |          6 |
| d:\muyuan\my-iot-platform-frontend\src\views\intelligentDisinfection\baseDeploy\page\subpage\rolePermissions\index.vue                                                                           | Vue.js     |          5 |          0 |          1 |          6 |
| d:\muyuan\my-iot-platform-frontend\src\views\intelligentDisinfection\disinfectionInformation\page\index.vue                                                                                      | Vue.js     |          7 |          0 |          1 |          8 |
